@relation train

@attribute weekday integer
@attribute month integer
@attribute day integer
@attribute year integer
@attribute hour integer
@attribute season {1, 2, 3, 4}
@attribute holiday {0, 1}
@attribute workingday {0, 1}
@attribute weather {1, 2, 3, 4}
@attribute temp real
@attribute atemp real
@attribute humidity real
@attribute windspeed real
@attribute prev_weekday integer
@attribute prev_month integer
@attribute prev_day integer
@attribute prev_year integer
@attribute prev_hour integer
@attribute prev_season {1, 2, 3, 4}
@attribute prev_holiday {0, 1}
@attribute prev_workingday {0, 1}
@attribute prev_weather {1, 2, 3, 4}
@attribute prev_temp real
@attribute prev_atemp real
@attribute prev_humidity real
@attribute prev_windspeed real
@attribute count numeric

@data
7,1,1,2011,0,1,0,0,1,9.84,14.395,81,0,?,?,?,?,?,?,?,?,?,?,?,?,?,16
7,1,1,2011,1,1,0,0,1,9.02,13.635,80,0,7,1,1,2011,0,1,0,0,1,9.84,14.395,81,0,40
7,1,1,2011,2,1,0,0,1,9.02,13.635,80,0,7,1,1,2011,1,1,0,0,1,9.02,13.635,80,0,32
7,1,1,2011,3,1,0,0,1,9.84,14.395,75,0,7,1,1,2011,2,1,0,0,1,9.02,13.635,80,0,13
7,1,1,2011,4,1,0,0,1,9.84,14.395,75,0,7,1,1,2011,3,1,0,0,1,9.84,14.395,75,0,1
7,1,1,2011,5,1,0,0,2,9.84,12.88,75,6.0032,7,1,1,2011,4,1,0,0,1,9.84,14.395,75,0,1
7,1,1,2011,6,1,0,0,1,9.02,13.635,80,0,7,1,1,2011,5,1,0,0,2,9.84,12.88,75,6.0032,2
7,1,1,2011,7,1,0,0,1,8.2,12.88,86,0,7,1,1,2011,6,1,0,0,1,9.02,13.635,80,0,3
7,1,1,2011,8,1,0,0,1,9.84,14.395,75,0,7,1,1,2011,7,1,0,0,1,8.2,12.88,86,0,8
7,1,1,2011,9,1,0,0,1,13.12,17.425,76,0,7,1,1,2011,8,1,0,0,1,9.84,14.395,75,0,14
7,1,1,2011,10,1,0,0,1,15.58,19.695,76,16.9979,7,1,1,2011,9,1,0,0,1,13.12,17.425,76,0,36
7,1,1,2011,11,1,0,0,1,14.76,16.665,81,19.0012,7,1,1,2011,10,1,0,0,1,15.58,19.695,76,16.9979,56
7,1,1,2011,12,1,0,0,1,17.22,21.21,77,19.0012,7,1,1,2011,11,1,0,0,1,14.76,16.665,81,19.0012,84
7,1,1,2011,13,1,0,0,2,18.86,22.725,72,19.9995,7,1,1,2011,12,1,0,0,1,17.22,21.21,77,19.0012,94
7,1,1,2011,14,1,0,0,2,18.86,22.725,72,19.0012,7,1,1,2011,13,1,0,0,2,18.86,22.725,72,19.9995,106
7,1,1,2011,15,1,0,0,2,18.04,21.97,77,19.9995,7,1,1,2011,14,1,0,0,2,18.86,22.725,72,19.0012,110
7,1,1,2011,16,1,0,0,2,17.22,21.21,82,19.9995,7,1,1,2011,15,1,0,0,2,18.04,21.97,77,19.9995,93
7,1,1,2011,17,1,0,0,2,18.04,21.97,82,19.0012,7,1,1,2011,16,1,0,0,2,17.22,21.21,82,19.9995,67
7,1,1,2011,18,1,0,0,3,17.22,21.21,88,16.9979,7,1,1,2011,17,1,0,0,2,18.04,21.97,82,19.0012,35
7,1,1,2011,19,1,0,0,3,17.22,21.21,88,16.9979,7,1,1,2011,18,1,0,0,3,17.22,21.21,88,16.9979,37
7,1,1,2011,20,1,0,0,2,16.4,20.455,87,16.9979,7,1,1,2011,19,1,0,0,3,17.22,21.21,88,16.9979,36
7,1,1,2011,21,1,0,0,2,16.4,20.455,87,12.998,7,1,1,2011,20,1,0,0,2,16.4,20.455,87,16.9979,34
7,1,1,2011,22,1,0,0,2,16.4,20.455,94,15.0013,7,1,1,2011,21,1,0,0,2,16.4,20.455,87,12.998,28
7,1,1,2011,23,1,0,0,2,18.86,22.725,88,19.9995,7,1,1,2011,22,1,0,0,2,16.4,20.455,94,15.0013,39
1,1,2,2011,0,1,0,0,2,18.86,22.725,88,19.9995,7,1,1,2011,23,1,0,0,2,18.86,22.725,88,19.9995,17
1,1,2,2011,1,1,0,0,2,18.04,21.97,94,16.9979,1,1,2,2011,0,1,0,0,2,18.86,22.725,88,19.9995,17
1,1,2,2011,2,1,0,0,2,17.22,21.21,100,19.0012,1,1,2,2011,1,1,0,0,2,18.04,21.97,94,16.9979,9
1,1,2,2011,3,1,0,0,2,18.86,22.725,94,12.998,1,1,2,2011,2,1,0,0,2,17.22,21.21,100,19.0012,6
1,1,2,2011,4,1,0,0,2,18.86,22.725,94,12.998,1,1,2,2011,3,1,0,0,2,18.86,22.725,94,12.998,3
1,1,2,2011,6,1,0,0,3,17.22,21.21,77,19.9995,1,1,2,2011,4,1,0,0,2,18.86,22.725,94,12.998,2
1,1,2,2011,7,1,0,0,2,16.4,20.455,76,12.998,1,1,2,2011,6,1,0,0,3,17.22,21.21,77,19.9995,1
1,1,2,2011,8,1,0,0,3,16.4,20.455,71,15.0013,1,1,2,2011,7,1,0,0,2,16.4,20.455,76,12.998,8
1,1,2,2011,9,1,0,0,2,15.58,19.695,76,15.0013,1,1,2,2011,8,1,0,0,3,16.4,20.455,71,15.0013,20
1,1,2,2011,10,1,0,0,2,14.76,17.425,81,15.0013,1,1,2,2011,9,1,0,0,2,15.58,19.695,76,15.0013,53
1,1,2,2011,11,1,0,0,2,14.76,16.665,71,16.9979,1,1,2,2011,10,1,0,0,2,14.76,17.425,81,15.0013,70
1,1,2,2011,12,1,0,0,2,14.76,16.665,66,19.9995,1,1,2,2011,11,1,0,0,2,14.76,16.665,71,16.9979,93
1,1,2,2011,13,1,0,0,2,14.76,17.425,66,8.9981,1,1,2,2011,12,1,0,0,2,14.76,16.665,66,19.9995,75
1,1,2,2011,14,1,0,0,3,14.76,17.425,76,12.998,1,1,2,2011,13,1,0,0,2,14.76,17.425,66,8.9981,59
1,1,2,2011,15,1,0,0,3,13.94,16.665,81,11.0014,1,1,2,2011,14,1,0,0,3,14.76,17.425,76,12.998,74
1,1,2,2011,16,1,0,0,3,13.94,16.665,71,11.0014,1,1,2,2011,15,1,0,0,3,13.94,16.665,81,11.0014,76
1,1,2,2011,17,1,0,0,1,13.94,16.665,57,12.998,1,1,2,2011,16,1,0,0,3,13.94,16.665,71,11.0014,65
1,1,2,2011,18,1,0,0,2,14.76,16.665,46,22.0028,1,1,2,2011,17,1,0,0,1,13.94,16.665,57,12.998,53
1,1,2,2011,19,1,0,0,1,13.12,14.395,42,30.0026,1,1,2,2011,18,1,0,0,2,14.76,16.665,46,22.0028,30
1,1,2,2011,20,1,0,0,1,12.3,13.635,39,23.9994,1,1,2,2011,19,1,0,0,1,13.12,14.395,42,30.0026,22
1,1,2,2011,21,1,0,0,1,10.66,11.365,44,22.0028,1,1,2,2011,20,1,0,0,1,12.3,13.635,39,23.9994,31
1,1,2,2011,22,1,0,0,1,9.84,10.605,44,19.9995,1,1,2,2011,21,1,0,0,1,10.66,11.365,44,22.0028,9
1,1,2,2011,23,1,0,0,1,9.02,11.365,47,11.0014,1,1,2,2011,22,1,0,0,1,9.84,10.605,44,19.9995,8
2,1,3,2011,0,1,0,1,1,9.02,9.85,44,23.9994,1,1,2,2011,23,1,0,0,1,9.02,11.365,47,11.0014,5
2,1,3,2011,1,1,0,1,1,8.2,8.335,44,27.9993,2,1,3,2011,0,1,0,1,1,9.02,9.85,44,23.9994,2
2,1,3,2011,4,1,0,1,1,6.56,6.82,47,26.0027,2,1,3,2011,1,1,0,1,1,8.2,8.335,44,27.9993,1
2,1,3,2011,5,1,0,1,1,6.56,6.82,47,19.0012,2,1,3,2011,4,1,0,1,1,6.56,6.82,47,26.0027,3
2,1,3,2011,6,1,0,1,1,5.74,5.305,50,26.0027,2,1,3,2011,5,1,0,1,1,6.56,6.82,47,19.0012,30
2,1,3,2011,7,1,0,1,1,5.74,6.82,50,12.998,2,1,3,2011,6,1,0,1,1,5.74,5.305,50,26.0027,64
2,1,3,2011,8,1,0,1,1,5.74,6.06,50,19.0012,2,1,3,2011,7,1,0,1,1,5.74,6.82,50,12.998,154
2,1,3,2011,9,1,0,1,1,6.56,6.82,43,26.0027,2,1,3,2011,8,1,0,1,1,5.74,6.06,50,19.0012,88
2,1,3,2011,10,1,0,1,1,7.38,8.335,43,16.9979,2,1,3,2011,9,1,0,1,1,6.56,6.82,43,26.0027,44
