@relation train

@attribute weekday integer
@attribute month integer
@attribute day integer
@attribute year integer
@attribute hour integer
@attribute season {1, 2, 3, 4}
@attribute holiday {0, 1}
@attribute workingday {0, 1}
@attribute weather {1, 2, 3, 4}
@attribute temp real
@attribute atemp real
@attribute humidity real
@attribute windspeed real
@attribute prev_hour_weekday integer
@attribute prev_hour_month integer
@attribute prev_hour_day integer
@attribute prev_hour_year integer
@attribute prev_hour_hour integer
@attribute prev_hour_season {1, 2, 3, 4}
@attribute prev_hour_holiday {0, 1}
@attribute prev_hour_workingday {0, 1}
@attribute prev_hour_weather {1, 2, 3, 4}
@attribute prev_hour_temp real
@attribute prev_hour_atemp real
@attribute prev_hour_humidity real
@attribute prev_hour_windspeed real
@attribute count numeric

@data
7,1,1,2011,0,1,0,0,1,9.84,14.395,81,0,?,?,?,?,?,?,?,?,?,?,?,?,?,13
7,1,1,2011,1,1,0,0,1,9.02,13.635,80,0,7,1,1,2011,0,1,0,0,1,9.84,14.395,81,0,32
7,1,1,2011,2,1,0,0,1,9.02,13.635,80,0,7,1,1,2011,1,1,0,0,1,9.02,13.635,80,0,27
7,1,1,2011,3,1,0,0,1,9.84,14.395,75,0,7,1,1,2011,2,1,0,0,1,9.02,13.635,80,0,10
7,1,1,2011,4,1,0,0,1,9.84,14.395,75,0,7,1,1,2011,3,1,0,0,1,9.84,14.395,75,0,1
7,1,1,2011,5,1,0,0,2,9.84,12.88,75,6.0032,7,1,1,2011,4,1,0,0,1,9.84,14.395,75,0,1
7,1,1,2011,6,1,0,0,1,9.02,13.635,80,0,7,1,1,2011,5,1,0,0,2,9.84,12.88,75,6.0032,0
7,1,1,2011,7,1,0,0,1,8.2,12.88,86,0,7,1,1,2011,6,1,0,0,1,9.02,13.635,80,0,2
7,1,1,2011,8,1,0,0,1,9.84,14.395,75,0,7,1,1,2011,7,1,0,0,1,8.2,12.88,86,0,7
7,1,1,2011,9,1,0,0,1,13.12,17.425,76,0,7,1,1,2011,8,1,0,0,1,9.84,14.395,75,0,6
7,1,1,2011,10,1,0,0,1,15.58,19.695,76,16.9979,7,1,1,2011,9,1,0,0,1,13.12,17.425,76,0,24
7,1,1,2011,11,1,0,0,1,14.76,16.665,81,19.0012,7,1,1,2011,10,1,0,0,1,15.58,19.695,76,16.9979,30
7,1,1,2011,12,1,0,0,1,17.22,21.21,77,19.0012,7,1,1,2011,11,1,0,0,1,14.76,16.665,81,19.0012,55
7,1,1,2011,13,1,0,0,2,18.86,22.725,72,19.9995,7,1,1,2011,12,1,0,0,1,17.22,21.21,77,19.0012,47
7,1,1,2011,14,1,0,0,2,18.86,22.725,72,19.0012,7,1,1,2011,13,1,0,0,2,18.86,22.725,72,19.9995,71
7,1,1,2011,15,1,0,0,2,18.04,21.97,77,19.9995,7,1,1,2011,14,1,0,0,2,18.86,22.725,72,19.0012,70
7,1,1,2011,16,1,0,0,2,17.22,21.21,82,19.9995,7,1,1,2011,15,1,0,0,2,18.04,21.97,77,19.9995,52
7,1,1,2011,17,1,0,0,2,18.04,21.97,82,19.0012,7,1,1,2011,16,1,0,0,2,17.22,21.21,82,19.9995,52
7,1,1,2011,18,1,0,0,3,17.22,21.21,88,16.9979,7,1,1,2011,17,1,0,0,2,18.04,21.97,82,19.0012,26
7,1,1,2011,19,1,0,0,3,17.22,21.21,88,16.9979,7,1,1,2011,18,1,0,0,3,17.22,21.21,88,16.9979,31
7,1,1,2011,20,1,0,0,2,16.4,20.455,87,16.9979,7,1,1,2011,19,1,0,0,3,17.22,21.21,88,16.9979,25
7,1,1,2011,21,1,0,0,2,16.4,20.455,87,12.998,7,1,1,2011,20,1,0,0,2,16.4,20.455,87,16.9979,31
7,1,1,2011,22,1,0,0,2,16.4,20.455,94,15.0013,7,1,1,2011,21,1,0,0,2,16.4,20.455,87,12.998,17
7,1,1,2011,23,1,0,0,2,18.86,22.725,88,19.9995,7,1,1,2011,22,1,0,0,2,16.4,20.455,94,15.0013,24
